0.01 0.00766989
0.0112202 0.00809833
0.0125893 0.00855839
0.0141254 0.00905384
0.0158489 0.00958913
0.0177828 0.0101695
0.0199526 0.0108013
0.0223872 0.0114918
0.0251189 0.0122501
0.0281838 0.0130869
0.0316228 0.0140152
0.0354813 0.0150506
0.0398107 0.0162121
0.0446684 0.0175227
0.0501187 0.0190103
0.0562341 0.0207089
0.0630957 0.0226598
0.0707946 0.0249134
0.0794328 0.027531
0.0891251 0.0305871
0.1 0.0341724
0.112202 0.0383971
0.125893 0.0433949
0.141254 0.0493275
0.158489 0.0563902
0.177828 0.0648179
0.199526 0.074892
0.223872 0.0869482
0.251189 0.101385
0.281838 0.118669
0.316228 0.139349
0.354813 0.164054
0.398107 0.193505
0.446684 0.228507
0.501187 0.269945
0.562341 0.318768
0.630957 0.375952
0.707946 0.442451
0.794328 0.519128
0.891251 0.606651
1 0.705362
1.12202 0.815129
1.25893 0.935161
1.41254 1.06383
1.58489 1.19851
1.77828 1.33546
1.99526 1.46984
2.23872 1.59579
2.51189 1.70679
2.81838 1.79607
3.16228 1.85727
3.54813 1.88512
3.98107 1.87604
4.46684 1.82867
5.01187 1.74412
5.62341 1.62587
6.30957 1.47957
7.07946 1.31253
7.94328 1.13319
8.91251 0.950401
10 0.772755
11.2202 0.607828
12.5893 0.461511
14.1254 0.337534
15.8489 0.237291
17.7828 0.160022
19.9526 0.103303
22.3872 0.0637024
25.1189 0.0374421
28.1838 0.020933
31.6228 0.0111145
35.4813 0.0056019
39.8107 0.00268408
44.6684 0.00122748
50.1187 0.000539417
56.2341 0.000229742
63.0957 9.55802e-05
70.7946 3.89782e-05
79.4328 1.55097e-05
89.1251 5.91924e-06
100 2.05945e-06
